header	segment	source	accession	strain	subtype	date	host_species	host	colourName
blasthit|EPI_ISL_141112|A/green-winged_teal/Minnesota/Sg-00841/2008|A|2008-09-03	seg3	blasthit	EPI_ISL_141112	A/green-winged_teal/Minnesota/Sg-00841/2008	A	2008-09-03	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141122|A/mallard/Minnesota/Sg-01002/2008|A|2008-09-12	seg3	blasthit	EPI_ISL_141122	A/mallard/Minnesota/Sg-01002/2008	A	2008-09-12	mallard	anseriformes	red2
blasthit|EPI_ISL_141093|A/mallard/Minnesota/SG-00932/2008|A_/_H6N1|2008-09-16	seg3	blasthit	EPI_ISL_141093	A/mallard/Minnesota/SG-00932/2008	H6N1	2008-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_137886|A/mallard/Alberta/88/2004|A_/_H1N1|2004-07-03	seg3	blasthit	EPI_ISL_137886	A/mallard/Alberta/88/2004	H1N1	2004-07-03	mallard	anseriformes	red2
blasthit|EPI_ISL_63057|A/mallard/Minnesota/Sg-00464/2008|A_/_H6N1|2008-09-16	seg3	blasthit	EPI_ISL_63057	A/mallard/Minnesota/Sg-00464/2008	H6N1	2008-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_33304|A/mallard/Minnesota/Sg-00462/2008|A_/_H6N1|2008-09-16	seg3	blasthit	EPI_ISL_33304	A/mallard/Minnesota/Sg-00462/2008	H6N1	2008-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_134984|A/gadwall/Mississippi/10OS4531/2010|A_/_H6N2|2010-12-11	seg3	blasthit	EPI_ISL_134984	A/gadwall/Mississippi/10OS4531/2010	H6N2	2010-12-11	gadwall	anseriformes	red2
blasthit|EPI_ISL_99332|A/mallard/Alberta/192/2004|A_/_H3N1|2004-08-13	seg3	blasthit	EPI_ISL_99332	A/mallard/Alberta/192/2004	H3N1	2004-08-13	mallard	anseriformes	red2
blasthit|EPI_ISL_33369|A/mallard/Minnesota/Sg-00576/2008|A_/_H6N1|2008-09-17	seg3	blasthit	EPI_ISL_33369	A/mallard/Minnesota/Sg-00576/2008	H6N1	2008-09-17	mallard	anseriformes	red2
blasthit|EPI_ISL_134987|A/northern_shoveler/Mississippi/10OS4526/2010|A_/_H6N2|2010-12-10	seg3	blasthit	EPI_ISL_134987	A/northern_shoveler/Mississippi/10OS4526/2010	H6N2	2010-12-10	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_146091|A/mallard/Alberta/88/2004|A_/_H1N1|2004-08-03	seg3	blasthit	EPI_ISL_146091	A/mallard/Alberta/88/2004	H1N1	2004-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_99331|A/mallard/Alberta/226/2004|A_/_H4N6|2004-08-15	seg3	blasthit	EPI_ISL_99331	A/mallard/Alberta/226/2004	H4N6	2004-08-15	mallard	anseriformes	red2
blasthit|EPI_ISL_99329|A/mallard/Alberta/251/2004|A_/_H4N6|2004-08-15	seg3	blasthit	EPI_ISL_99329	A/mallard/Alberta/251/2004	H4N6	2004-08-15	mallard	anseriformes	red2
blasthit|EPI_ISL_5342|A/blue-winged_teal/Ohio/926/2002|A_/_H3N8|2002-09-07	seg3	blasthit	EPI_ISL_5342	A/blue-winged_teal/Ohio/926/2002	H3N8	2002-09-07	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_99268|A/mallard/Alberta/284/2007|A|2007-08-04	seg3	blasthit	EPI_ISL_99268	A/mallard/Alberta/284/2007	A	2007-08-04	mallard	anseriformes	red2
blasthit|EPI_ISL_94082|A/American_black_duck/Prince_Edward_Island/14230/2006|A_/_H3N8|2006-08-15	seg3	blasthit	EPI_ISL_94082	A/American_black_duck/Prince_Edward_Island/14230/2006	H3N8	2006-08-15	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_94045|A/American_black_duck/Prince_Edward_Island/14235/2006|A_/_H4N6|2006-08-16	seg3	blasthit	EPI_ISL_94045	A/American_black_duck/Prince_Edward_Island/14235/2006	H4N6	2006-08-16	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_127934|A/green-winged_teal/New_Brunswick/02526/2007|A|2007-09-24	seg3	blasthit	EPI_ISL_127934	A/green-winged_teal/New_Brunswick/02526/2007	A	2007-09-24	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_94091|A/green-winged_teal/Nova_Scotia/14917/2005|A_/_H6N1|2005-09-14	seg3	blasthit	EPI_ISL_94091	A/green-winged_teal/Nova_Scotia/14917/2005	H6N1	2005-09-14	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_64916|A/redhead/Alberta/11817/2005|A_/_H4N6|2005-08-06	seg3	blasthit	EPI_ISL_64916	A/redhead/Alberta/11817/2005	H4N6	2005-08-06	redhead	anseriformes	red2
blasthit|EPI_ISL_64444|A/sanderling/New_Jersey/369/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64444	A/sanderling/New_Jersey/369/2006	H7N3	2006-07-02	sanderling	charadriiformes	red1
blasthit|EPI_ISL_64438|A/ruddy_turnstone/New_Jersey/594/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64438	A/ruddy_turnstone/New_Jersey/594/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64430|A/ruddy_turnstone/New_Jersey/549/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64430	A/ruddy_turnstone/New_Jersey/549/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64428|A/ruddy_turnstone/New_Jersey/518/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64428	A/ruddy_turnstone/New_Jersey/518/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64426|A/ruddy_turnstone/New_Jersey/215/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64426	A/ruddy_turnstone/New_Jersey/215/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64424|A/ruddy_turnstone/New_Jersey/200/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64424	A/ruddy_turnstone/New_Jersey/200/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64417|A/ruddy_turnstone/New_Jersey/176/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64417	A/ruddy_turnstone/New_Jersey/176/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64413|A/ruddy_turnstone/Delaware/891/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64413	A/ruddy_turnstone/Delaware/891/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64411|A/ruddy_turnstone/Delaware/887/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64411	A/ruddy_turnstone/Delaware/887/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64410|A/ruddy_turnstone/Delaware/880/2006|A_/_H7N3|2006-07-02	seg3	blasthit	EPI_ISL_64410	A/ruddy_turnstone/Delaware/880/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_31480|A/ruddy_turnstone/Delaware/892/2006|A_/_H7N7|2006-07-02	seg3	blasthit	EPI_ISL_31480	A/ruddy_turnstone/Delaware/892/2006	H7N7	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_189681|A/laughing_gull/Delaware_Bay/42/2006|A_/_H7N3|2006-05-22	seg3	blasthit	EPI_ISL_189681	A/laughing_gull/Delaware_Bay/42/2006	H7N3	2006-05-22	laughing_gull	charadriiformes	red1
blasthit|EPI_ISL_180816|A/American_green-winged_teal/Maryland/06MD700/2006|A_/_H6N8|2006-10-21	seg3	blasthit	EPI_ISL_180816	A/American_green-winged_teal/Maryland/06MD700/2006	H6N8	2006-10-21	American_green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_131744|A/American_black_duck/Nova_Scotia/02043/2007|A_/_H8N4|2007-08-08	seg3	blasthit	EPI_ISL_131744	A/American_black_duck/Nova_Scotia/02043/2007	H8N4	2007-08-08	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131743|A/mallard/Nova_Scotia/02320/2007|A_/_H4N6|2007-08-25	seg3	blasthit	EPI_ISL_131743	A/mallard/Nova_Scotia/02320/2007	H4N6	2007-08-25	mallard	anseriformes	red2
blasthit|EPI_ISL_131739|A/American_black_duck/Nova_Scotia/02319/2007|A_/_H4N6|2007-08-25	seg3	blasthit	EPI_ISL_131739	A/American_black_duck/Nova_Scotia/02319/2007	H4N6	2007-08-25	American_black_duck	anseriformes	red2
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg4	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg4	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_137683|A/blue-winged_teal/New_Brunswick/00291/2010|A_/_H3N8|2010-09-14	seg4	blasthit	EPI_ISL_137683	A/blue-winged_teal/New_Brunswick/00291/2010	H3N8	2010-09-14	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_137682|A/blue-winged_teal/New_Brunswick/00289/2010|A_/_H3N8|2010-09-14	seg4	blasthit	EPI_ISL_137682	A/blue-winged_teal/New_Brunswick/00289/2010	H3N8	2010-09-14	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_137680|A/blue-winged_teal/New_Brunswick/00285/2010|A_/_H3N8|2010-09-14	seg4	blasthit	EPI_ISL_137680	A/blue-winged_teal/New_Brunswick/00285/2010	H3N8	2010-09-14	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_137679|A/blue-winged_teal/New_Brunswick/00283/2010|A_/_H3N8|2010-09-14	seg4	blasthit	EPI_ISL_137679	A/blue-winged_teal/New_Brunswick/00283/2010	H3N8	2010-09-14	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_133621|A/mallard/Ohio/11OS2146/2011|A|2011-08-15	seg4	blasthit	EPI_ISL_133621	A/mallard/Ohio/11OS2146/2011	A	2011-08-15	mallard	anseriformes	red2
blasthit|EPI_ISL_133620|A/mallard/Ohio/11OS2141/2011|A_/_H3N2|2011-08-15	seg4	blasthit	EPI_ISL_133620	A/mallard/Ohio/11OS2141/2011	H3N2	2011-08-15	mallard	anseriformes	red2
blasthit|EPI_ISL_133619|A/mallard/Ohio/11OS2150/2011|A_/_H3N1|2011-08-15	seg4	blasthit	EPI_ISL_133619	A/mallard/Ohio/11OS2150/2011	H3N1	2011-08-15	mallard	anseriformes	red2
blasthit|EPI_ISL_145709|A/Anas_discors/New_Mexico/A00327700/2007|A_/_H3N8|2007-09-17	seg4	blasthit	EPI_ISL_145709	A/Anas_discors/New_Mexico/A00327700/2007	H3N8	2007-09-17	Anas_discors	anseriformes	red2
blasthit|EPI_ISL_216097|A/mallard/Maryland/11OS3949/2011|A|2011-01-27	seg4	blasthit	EPI_ISL_216097	A/mallard/Maryland/11OS3949/2011	A	2011-01-27	mallard	anseriformes	red2
blasthit|EPI_ISL_95439|A/mallard/Illinois/2956/2009|A|2009-10-17	seg4	blasthit	EPI_ISL_95439	A/mallard/Illinois/2956/2009	A	2009-10-17	mallard	anseriformes	red2
blasthit|EPI_ISL_99332|A/mallard/Alberta/192/2004|A_/_H3N1|2004-08-13	seg4	blasthit	EPI_ISL_99332	A/mallard/Alberta/192/2004	H3N1	2004-08-13	mallard	anseriformes	red2
blasthit|EPI_ISL_141099|A/mallard/Minnesota/Sg-00674/2008|A_/_H3N8|2008-08-03	seg4	blasthit	EPI_ISL_141099	A/mallard/Minnesota/Sg-00674/2008	H3N8	2008-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_141089|A/blue-winged_teal/Minnesota/Sg-00787/2008|A_/_H3N8|2008-08-03	seg4	blasthit	EPI_ISL_141089	A/blue-winged_teal/Minnesota/Sg-00787/2008	H3N8	2008-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141135|A/mallard/Minnesota/SG-00680/2008|A|2008-08-03	seg4	blasthit	EPI_ISL_141135	A/mallard/Minnesota/SG-00680/2008	A	2008-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_141331|A/mallard/Minnesota/Sg-00571/2008|A|2008-08-03	seg4	blasthit	EPI_ISL_141331	A/mallard/Minnesota/Sg-00571/2008	A	2008-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_66125|A/mallard/Ohio/1506/2006|A_/_H3N6|2006-07-02	seg4	blasthit	EPI_ISL_66125	A/mallard/Ohio/1506/2006	H3N6	2006-07-02	mallard	anseriformes	red2
blasthit|EPI_ISL_158517|A/mallard/Wisconsin/11OS3177/2011|A|2011-09-24	seg4	blasthit	EPI_ISL_158517	A/mallard/Wisconsin/11OS3177/2011	A	2011-09-24	mallard	anseriformes	red2
blasthit|EPI_ISL_148254|A/blue-winged_teal/Canada/3288/2011|A_/_H3N8|2011-09-24	seg4	blasthit	EPI_ISL_148254	A/blue-winged_teal/Canada/3288/2011	H3N8	2011-09-24	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_148253|A/blue-winged_teal/Canada/3287/2011|A_/_H3N8|2011-09-24	seg4	blasthit	EPI_ISL_148253	A/blue-winged_teal/Canada/3287/2011	H3N8	2011-09-24	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_148251|A/blue-winged_teal/Canada/3285/2011|A_/_H3N8|2011-09-24	seg4	blasthit	EPI_ISL_148251	A/blue-winged_teal/Canada/3285/2011	H3N8	2011-09-24	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_148249|A/blue-winged_teal/Canada/3244/2011|A_/_H3N8|2011-09-19	seg4	blasthit	EPI_ISL_148249	A/blue-winged_teal/Canada/3244/2011	H3N8	2011-09-19	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141121|A/green-winged_teal/Minnesota/Sg-01000/2008|A_/_H3N6|2008-09-11	seg4	blasthit	EPI_ISL_141121	A/green-winged_teal/Minnesota/Sg-01000/2008	H3N6	2008-09-11	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141098|A/mallard/Minnesota/Sg-00672/2008|A_/_H3N8|2008-08-03	seg4	blasthit	EPI_ISL_141098	A/mallard/Minnesota/Sg-00672/2008	H3N8	2008-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_141513|A/mallard/Minnesota/Sg-00591/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141513	A/mallard/Minnesota/Sg-00591/2008	H3N8	2008-07-31	mallard	anseriformes	red2
blasthit|EPI_ISL_141512|A/mallard/Minnesota/Sg-00590/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141512	A/mallard/Minnesota/Sg-00590/2008	H3N8	2008-07-31	mallard	anseriformes	red2
blasthit|EPI_ISL_141511|A/mallard/Minnesota/Sg-00589/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141511	A/mallard/Minnesota/Sg-00589/2008	H3N8	2008-07-31	mallard	anseriformes	red2
blasthit|EPI_ISL_141132|A/northern_shoveler/Minnesota/Sg-00645/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141132	A/northern_shoveler/Minnesota/Sg-00645/2008	H3N8	2008-07-31	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_134989|A/mallard/Wisconsin/10OS3232/2010|A|2010-11-12	seg4	blasthit	EPI_ISL_134989	A/mallard/Wisconsin/10OS3232/2010	A	2010-11-12	mallard	anseriformes	red2
blasthit|EPI_ISL_95452|A/ruddy_duck/Illinois/3471/2009|A_/_H3N8|2009-11-01	seg4	blasthit	EPI_ISL_95452	A/ruddy_duck/Illinois/3471/2009	H3N8	2009-11-01	ruddy_duck	anseriformes	red2
blasthit|EPI_ISL_141122|A/mallard/Minnesota/Sg-01002/2008|A|2008-09-12	seg4	blasthit	EPI_ISL_141122	A/mallard/Minnesota/Sg-01002/2008	A	2008-09-12	mallard	anseriformes	red2
blasthit|EPI_ISL_141109|A/mallard/Minnesota/Sg-00831/2008|A_/_H3N8|2008-09-04	seg4	blasthit	EPI_ISL_141109	A/mallard/Minnesota/Sg-00831/2008	H3N8	2008-09-04	mallard	anseriformes	red2
blasthit|EPI_ISL_141097|A/northern_shoveler/Minnesota/Sg-00665/2008|A|2008-07-31	seg4	blasthit	EPI_ISL_141097	A/northern_shoveler/Minnesota/Sg-00665/2008	A	2008-07-31	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_141157|A/blue-winged_teal/Minnesota/Sg-00613/2008|A_/_H3N8|2008-07-29	seg4	blasthit	EPI_ISL_141157	A/blue-winged_teal/Minnesota/Sg-00613/2008	H3N8	2008-07-29	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141510|A/gadwall_duck/Minnesota/Sg-00575/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141510	A/gadwall_duck/Minnesota/Sg-00575/2008	H3N8	2008-07-31	gadwall_duck	anseriformes	red2
blasthit|EPI_ISL_141134|A/blue-winged_teal/Minnesota/Sg-00649/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141134	A/blue-winged_teal/Minnesota/Sg-00649/2008	H3N8	2008-07-31	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141131|A/mallard/Minnesota/Sg-00605/2008|A_/_H3N8|2008-07-31	seg4	blasthit	EPI_ISL_141131	A/mallard/Minnesota/Sg-00605/2008	H3N8	2008-07-31	mallard	anseriformes	red2
blasthit|EPI_ISL_31598|A/green-winged_teal/Minnesota/Sg-00131/2007|A_/_H3N2|2007-09-29	seg4	blasthit	EPI_ISL_31598	A/green-winged_teal/Minnesota/Sg-00131/2007	H3N2	2007-09-29	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_148252|A/blue-winged_teal/Canada/3286/2011|A_/_H3N8|2011-09-24	seg4	blasthit	EPI_ISL_148252	A/blue-winged_teal/Canada/3286/2011	H3N8	2011-09-24	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141228|A/blue-winged_Teal/North_Dakota/AI09-4039/2009|A_/_H3N6|2009-09-14	seg4	blasthit	EPI_ISL_141228	A/blue-winged_Teal/North_Dakota/AI09-4039/2009	H3N6	2009-09-14	blue-winged_Teal	anseriformes	red2
blasthit|EPI_ISL_141110|A/mallard/Minnesota/Sg-00836/2008|A|2008-09-04	seg4	blasthit	EPI_ISL_141110	A/mallard/Minnesota/Sg-00836/2008	A	2008-09-04	mallard	anseriformes	red2
blasthit|EPI_ISL_141155|A/mallard/Minnesota/Sg-00928/2008|A|2008-09-16	seg4	blasthit	EPI_ISL_141155	A/mallard/Minnesota/Sg-00928/2008	A	2008-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_137850|A/mallard/New_Brunswick/00913/2010|A|2010-09-14	seg4	blasthit	EPI_ISL_137850	A/mallard/New_Brunswick/00913/2010	A	2010-09-14	mallard	anseriformes	red2
blasthit|EPI_ISL_141115|A/mallard/Minnesota/Sg-00868/2008|A_/_H3N8|2008-09-03	seg4	blasthit	EPI_ISL_141115	A/mallard/Minnesota/Sg-00868/2008	H3N8	2008-09-03	mallard	anseriformes	red2
blasthit|EPI_ISL_141108|A/mallard/Minnesota/Sg-00824/2008|A|2008-09-04	seg4	blasthit	EPI_ISL_141108	A/mallard/Minnesota/Sg-00824/2008	A	2008-09-04	mallard	anseriformes	red2
blasthit|EPI_ISL_62985|A/blue-winged_teal/South_Dakota/Sg-00446/2008|A_/_H3N1|2008-08-11	seg4	blasthit	EPI_ISL_62985	A/blue-winged_teal/South_Dakota/Sg-00446/2008	H3N1	2008-08-11	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141251|A/red-necked_grebe/Minnesota/AI10-2529/2010|A|2010-08-07	seg4	blasthit	EPI_ISL_141251	A/red-necked_grebe/Minnesota/AI10-2529/2010	A	2010-08-07	red-necked_grebe	other/unknown avian	gray
blasthit|EPI_ISL_141207|A/mallard/Minnesota/AI09-2571/2009|A_/_H3N8|2009-09-07	seg4	blasthit	EPI_ISL_141207	A/mallard/Minnesota/AI09-2571/2009	H3N8	2009-09-07	mallard	anseriformes	red2
blasthit|EPI_ISL_137663|A/blue-winged_teal/Nova_Scotia/00067/2010|A|2010-09-07	seg4	blasthit	EPI_ISL_137663	A/blue-winged_teal/Nova_Scotia/00067/2010	A	2010-09-07	blue-winged_teal	anseriformes	red2
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg5	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg5	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_131756|A/American_black_duck/New_Brunswick/03552/2009|A_/_H4N6|2009-09-11	seg5	blasthit	EPI_ISL_131756	A/American_black_duck/New_Brunswick/03552/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131754|A/American_black_duck/New_Brunswick/03511/2009|A_/_H4N6|2009-09-10	seg5	blasthit	EPI_ISL_131754	A/American_black_duck/New_Brunswick/03511/2009	H4N6	2009-09-10	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131753|A/American_black_duck/New_Brunswick/03553/2009|A_/_H4N6|2009-09-11	seg5	blasthit	EPI_ISL_131753	A/American_black_duck/New_Brunswick/03553/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131697|A/American_black_duck/New_Brunswick/03559/2009|A_/_H4N6|2009-09-11	seg5	blasthit	EPI_ISL_131697	A/American_black_duck/New_Brunswick/03559/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_206331|A/blue_winged_teal/Louisiana/A00637297/2009|A_/_H7N3|2009-01-22	seg5	blasthit	EPI_ISL_206331	A/blue_winged_teal/Louisiana/A00637297/2009	H7N3	2009-01-22	blue_winged_teal	anseriformes	red2
blasthit|EPI_ISL_95462|A/American_black_duck/Wisconsin/2542/2009|A_/_H4N2|2009-10-05	seg5	blasthit	EPI_ISL_95462	A/American_black_duck/Wisconsin/2542/2009	H4N2	2009-10-05	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_206362|A/mallard/Wisconsin/A00465618/2008|A_/_H7N3|2008-09-05	seg5	blasthit	EPI_ISL_206362	A/mallard/Wisconsin/A00465618/2008	H7N3	2008-09-05	mallard	anseriformes	red2
blasthit|EPI_ISL_84965|A/blue-winged_teal/Texas/Sg-00208/2007|A|2007-09-16	seg5	blasthit	EPI_ISL_84965	A/blue-winged_teal/Texas/Sg-00208/2007	A	2007-09-16	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_206347|A/mallard/Indiana/A00142205/2008|A_/_H7N3|2008-11-26	seg5	blasthit	EPI_ISL_206347	A/mallard/Indiana/A00142205/2008	H7N3	2008-11-26	mallard	anseriformes	red2
blasthit|EPI_ISL_206344|A/gadwall/Arizona/A00663934/2009|A_/_H7N7|2009-01-03	seg5	blasthit	EPI_ISL_206344	A/gadwall/Arizona/A00663934/2009	H7N7	2009-01-03	gadwall	anseriformes	red2
blasthit|EPI_ISL_141145|A/mallard/Minnesota/Sg-01040/2008|A_/_H3N2|2008-09-14	seg5	blasthit	EPI_ISL_141145	A/mallard/Minnesota/Sg-01040/2008	H3N2	2008-09-14	mallard	anseriformes	red2
blasthit|EPI_ISL_95434|A/blue-winged_teal/Wisconsin/3060/2009|A_/_H3N2|2009-10-17	seg5	blasthit	EPI_ISL_95434	A/blue-winged_teal/Wisconsin/3060/2009	H3N2	2009-10-17	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_95413|A/mallard/Wisconsin/3165/2009|A_/_H1N1|2009-10-31	seg5	blasthit	EPI_ISL_95413	A/mallard/Wisconsin/3165/2009	H1N1	2009-10-31	mallard	anseriformes	red2
blasthit|EPI_ISL_79754|A/duck/Ohio/470655/2007|A_/_H5N2|2007-07-02	seg5	blasthit	EPI_ISL_79754	A/duck/Ohio/470655/2007	H5N2	2007-07-02	duck	anseriformes	red2
blasthit|EPI_ISL_6985|A/mallard/Missouri/MO130/2005|A_/_H11N3|2005-07-02	seg5	blasthit	EPI_ISL_6985	A/mallard/Missouri/MO130/2005	H11N3	2005-07-02	mallard	anseriformes	red2
blasthit|EPI_ISL_133591|A/environment/Ohio/08OS1292/2008|A|2008-08-15	seg5	blasthit	EPI_ISL_133591	A/environment/Ohio/08OS1292/2008	A	2008-08-15	environment	other/unknown avian	gray
blasthit|EPI_ISL_79786|A/green_winged_teal/Ohio/468160/2006|A_/_H5N2|2006-07-02	seg5	blasthit	EPI_ISL_79786	A/green_winged_teal/Ohio/468160/2006	H5N2	2006-07-02	green_winged_teal	anseriformes	red2
blasthit|EPI_ISL_85180|A/mallard/Wisconsin/08OS2841/2008|A_/_H2N3|2008-10-31	seg5	blasthit	EPI_ISL_85180	A/mallard/Wisconsin/08OS2841/2008	H2N3	2008-10-31	mallard	anseriformes	red2
blasthit|EPI_ISL_80978|A/green_winged_teal/Delaware/468157-6/2006|A_/_H5N2|2006-07-02	seg5	blasthit	EPI_ISL_80978	A/green_winged_teal/Delaware/468157-6/2006	H5N2	2006-07-02	green_winged_teal	anseriformes	red2
blasthit|EPI_ISL_79756|A/wild_bird/Minnesota/460613/2006|A_/_H5N2|2006-07-02	seg5	blasthit	EPI_ISL_79756	A/wild_bird/Minnesota/460613/2006	H5N2	2006-07-02	wild_bird	other/unknown avian	gray
blasthit|EPI_ISL_95397|A/blue-winged_teal/Wisconsin/2818/2009|A|2009-10-03	seg5	blasthit	EPI_ISL_95397	A/blue-winged_teal/Wisconsin/2818/2009	A	2009-10-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_85162|A/mallard/Wisconsin/08OS2271/2008|A_/_H11N9|2008-10-19	seg5	blasthit	EPI_ISL_85162	A/mallard/Wisconsin/08OS2271/2008	H11N9	2008-10-19	mallard	anseriformes	red2
blasthit|EPI_ISL_121330|A/environment/California/7451/2010|A_/_H7N3|2010-02-28	seg5	blasthit	EPI_ISL_121330	A/environment/California/7451/2010	H7N3	2010-02-28	environment	other/unknown avian	gray
blasthit|EPI_ISL_95455|A/mallard/Wisconsin/2712/2009|A_/_H3N6|2009-10-11	seg5	blasthit	EPI_ISL_95455	A/mallard/Wisconsin/2712/2009	H3N6	2009-10-11	mallard	anseriformes	red2
blasthit|EPI_ISL_216640|A/mallard/Maryland/07OS871/2007|A_/_H10N9|2007-06-27	seg5	blasthit	EPI_ISL_216640	A/mallard/Maryland/07OS871/2007	H10N9	2007-06-27	mallard	anseriformes	red2
blasthit|EPI_ISL_148106|A/mallard/Minnesota/AI07-3140/2007|A_/_H1N1|2007-09-11	seg5	blasthit	EPI_ISL_148106	A/mallard/Minnesota/AI07-3140/2007	H1N1	2007-09-11	mallard	anseriformes	red2
