header	segment	source	accession	strain	subtype	date	year	location	host	colourName
blasthit|EPI_ISL_243393|A/mallard_duck/Netherlands/6/2015|A_/_H10N7|2015-03-04	seg3	blasthit	EPI_ISL_243393	A/mallard_duck/Netherlands/6/2015	H10N7	04/03/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243434|A/mallard_duck/Netherlands/33/2014|A_/_H10N7|2014-12-16	seg3	blasthit	EPI_ISL_243434	A/mallard_duck/Netherlands/33/2014	H10N7	16/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267350|A/mallard_duck/Georgia/3/2012|A_/_H7N3|2012-01-30	seg3	blasthit	EPI_ISL_267350	A/mallard_duck/Georgia/3/2012	H7N3	30/01/2012	2012	Georgia	anseriformes	red2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg3	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_191763|A/chicken/Germany/AR915-L01268/2015|A_/_H7N7|2015-06-09	seg3	blasthit	EPI_ISL_191763	A/chicken/Germany/AR915-L01268/2015	H7N7	09/06/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_237154|A/duck/Kagoshima/461210/2013|A_/_H1N1|2013-12-XX	seg3	blasthit	EPI_ISL_237154	A/duck/Kagoshima/461210/2013	H1N1	2013-12-XX	2013	Kagoshima	anseriformes	red2
blasthit|EPI_ISL_191942|A/chicken/Germany/AR1386-L01302/2015|A_/_H7N7|2015-07-25	seg3	blasthit	EPI_ISL_191942	A/chicken/Germany/AR1386-L01302/2015	H7N7	25/07/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_191941|A/chicken/Germany/AR1385-L01301/2015|A_/_H7N7|2015-07-25	seg3	blasthit	EPI_ISL_191941	A/chicken/Germany/AR1385-L01301/2015	H7N7	25/07/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_191764|A/chicken/Germany/AR942-L01269/2015|A_/_H7N7|2015-06-09	seg3	blasthit	EPI_ISL_191764	A/chicken/Germany/AR942-L01269/2015	H7N7	09/06/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_328963|A/mallard_duck/Netherlands/18/2015|A_/_H7N7|2015-06-27	seg3	blasthit	EPI_ISL_328963	A/mallard_duck/Netherlands/18/2015	H7N7	27/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267389|A/mallard_duck/Netherlands/24/2014|A_/_H7N3|2014-09-30	seg3	blasthit	EPI_ISL_267389	A/mallard_duck/Netherlands/24/2014	H7N3	30/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328966|A/mallard_duck/Netherlands/41/2015|A_/_H5N1|2015-09-15	seg3	blasthit	EPI_ISL_328966	A/mallard_duck/Netherlands/41/2015	H5N1	15/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_298543|A/duck/Mongolia/62/2013|A_/_H3N1|2013-09-01	seg3	blasthit	EPI_ISL_298543	A/duck/Mongolia/62/2013	H3N1	01/09/2013	2013	Mongolia	anseriformes	red2
blasthit|EPI_ISL_328955|A/mallard_duck/Netherlands/52/2015|A_/_H5N6|2015-09-16	seg3	blasthit	EPI_ISL_328955	A/mallard_duck/Netherlands/52/2015	H5N6	16/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_138236|A/duck/Vietnam/LBM300/2012|A_/_H10N2|2012-XX-XX	seg3	blasthit	EPI_ISL_138236	A/duck/Vietnam/LBM300/2012	H10N2	2012-XX-XX	2012	Vietnam	anseriformes	red2
blasthit|EPI_ISL_171721|A/chicken/England/2830/2015|A_/_H7N7|2015-01-30	seg3	blasthit	EPI_ISL_171721	A/chicken/England/2830/2015	H7N7	30/01/2015	2015	England	galliformes	red3
blasthit|EPI_ISL_122034|A/northern_shoveler/Georgia/1/2010|A_/_H2N3|2010-XX-XX	seg3	blasthit	EPI_ISL_122034	A/northern_shoveler/Georgia/1/2010	H2N3	2010-XX-XX	2010	Georgia	anseriformes	red2
blasthit|EPI_ISL_89979|A/mallard/Czech_Republic/13438-29K/2010|A_/_H11N9|2010-09-09	seg3	blasthit	EPI_ISL_89979	A/mallard/Czech_Republic/13438-29K/2010	H11N9	09/09/2010	2010	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_206840|A/duck/Sichuan/S4202/2011|A_/_H4N2|2011-11-15	seg3	blasthit	EPI_ISL_206840	A/duck/Sichuan/S4202/2011	H4N2	15/11/2011	2011	Sichuan	anseriformes	red2
blasthit|EPI_ISL_267171|A/mallard_duck/Netherlands/22/2013|A_/_H2N3|2013-01-07	seg3	blasthit	EPI_ISL_267171	A/mallard_duck/Netherlands/22/2013	H2N3	07/01/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267293|A/tufted_duck/Georgia/1/2012|A_/_H2N3|2012-12-22	seg3	blasthit	EPI_ISL_267293	A/tufted_duck/Georgia/1/2012	H2N3	22/12/2012	2012	Georgia	anseriformes	red2
blasthit|EPI_ISL_229599|A/pigeon/Egypt/S10409A/2014|A_/_H9N2|2014-12-09	seg3	blasthit	EPI_ISL_229599	A/pigeon/Egypt/S10409A/2014	H9N2	09/12/2014	2014	Egypt	other/unknown avian	gray
blasthit|EPI_ISL_300529|A/teal/Markeev/13-3-11/2016|A_/_H5N2|2016-11-03	seg3	blasthit	EPI_ISL_300529	A/teal/Markeev/13-3-11/2016	H5N2	03/11/2016	2016	Markeev	anseriformes	red2
blasthit|EPI_ISL_209380|A/shelduck/Yasnopolyanske/4-08-02/2011|A_/_H1N1|2011-02-08	seg3	blasthit	EPI_ISL_209380	A/shelduck/Yasnopolyanske/4-08-02/2011	H1N1	08/02/2011	2011	Yasnopolyanske	anseriformes	red2
blasthit|EPI_ISL_329647|A/chicken/France/160013g/2016|A_/_H5N2|2016-01-01	seg3	blasthit	EPI_ISL_329647	A/chicken/France/160013g/2016	H5N2	01/01/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_329052|A/black-headed_gull/Netherlands/21/2014|A_/_H11N1|2014-12-26	seg3	blasthit	EPI_ISL_329052	A/black-headed_gull/Netherlands/21/2014	H11N1	26/12/2014	2014	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_329002|A/mallard_duck/Georgia/1/2014|A_/_H10N7|2014-11-24	seg3	blasthit	EPI_ISL_329002	A/mallard_duck/Georgia/1/2014	H10N7	24/11/2014	2014	Georgia	anseriformes	red2
blasthit|EPI_ISL_131203|A/wild_duck/Korea/CSM20-5/2009|A_/_H4N6|2009-11-XX	seg3	blasthit	EPI_ISL_131203	A/wild_duck/Korea/CSM20-5/2009	H4N6	2009-11-XX	2009	Korea	anseriformes	red2
blasthit|EPI_ISL_301004|A/wildbird/Ibaraki/R-5W-12/2010|A_/_H4N6|2010-XX-XX	seg3	blasthit	EPI_ISL_301004	A/wildbird/Ibaraki/R-5W-12/2010	H4N6	2010-XX-XX	2010	Ibaraki	other/unknown avian	gray
blasthit|EPI_ISL_252872|A/duck/Shanxi/3180/2010|A_/_H10N7|2010-12-XX	seg3	blasthit	EPI_ISL_252872	A/duck/Shanxi/3180/2010	H10N7	2010-12-XX	2010	Shanxi	anseriformes	red2
blasthit|EPI_ISL_70551|A/mallard/Korea/GH170/2007|A_/_H7N7|2007-12-XX	seg3	blasthit	EPI_ISL_70551	A/mallard/Korea/GH170/2007	H7N7	2007-12-XX	2007	Korea	anseriformes	red2
blasthit|EPI_ISL_189721|A/mallard/Republic_of_Georgia/3/2010|A_/_H7N3|2010-02-03	seg3	blasthit	EPI_ISL_189721	A/mallard/Republic_of_Georgia/3/2010	H7N3	03/02/2010	2010	Republic_of_Georgia	anseriformes	red2
blasthit|EPI_ISL_328975|A/mallard_duck/Georgia/2/2016|A_/_H7N7|2016-01-04	seg3	blasthit	EPI_ISL_328975	A/mallard_duck/Georgia/2/2016	H7N7	04/01/2016	2016	Georgia	anseriformes	red2
blasthit|EPI_ISL_11856|A/Baikal_Teal/Hongze/14/2005|A_/_H11N9|2005-XX-XX	seg3	blasthit	EPI_ISL_11856	A/Baikal_Teal/Hongze/14/2005	H11N9	2005-XX-XX	2005	Hongze	anseriformes	red2
blasthit|EPI_ISL_234920|A/duck/France/150236/2015|A_/_H5N9|2015-12-07	seg3	blasthit	EPI_ISL_234920	A/duck/France/150236/2015	H5N9	07/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_229617|A/pigeon/Egypt/S10408B/2014|A_/_H9N2|2014-12-09	seg3	blasthit	EPI_ISL_229617	A/pigeon/Egypt/S10408B/2014	H9N2	09/12/2014	2014	Egypt	other/unknown avian	gray
blasthit|EPI_ISL_328958|A/mallard_duck/Netherlands/56/2015|A_/_H3N2|2015-08-22	seg3	blasthit	EPI_ISL_328958	A/mallard_duck/Netherlands/56/2015	H3N2	22/08/2015	2015	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|HA|2017-02	seg4	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_267243|A/barnacle_goose/Netherlands/2/2014|A_/_H3N6|2014-12-15	seg4	blasthit	EPI_ISL_267243	A/barnacle_goose/Netherlands/2/2014	H3N6	15/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_291185|A/Mallard/Netherlands/11015220/2011|A_/_H3N8|2011-08-26	seg4	blasthit	EPI_ISL_291185	A/Mallard/Netherlands/11015220/2011	H3N8	26/08/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243492|A/mallard_duck/Netherlands/7/2008|A_/_H3N8|2008-08-22	seg4	blasthit	EPI_ISL_243492	A/mallard_duck/Netherlands/7/2008	H3N8	22/08/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328993|A/mallard_duck/Netherlands/6/2008|A_/_H3N6|2008-08-22	seg4	blasthit	EPI_ISL_328993	A/mallard_duck/Netherlands/6/2008	H3N6	22/08/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267342|A/mallard_duck/Netherlands/2/2013|A_/_H3N6|2013-09-10	seg4	blasthit	EPI_ISL_267342	A/mallard_duck/Netherlands/2/2013	H3N6	10/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_291195|A/Mallard/Netherlands/14016619/2014|A_/_H3N6|2014-12-03	seg4	blasthit	EPI_ISL_291195	A/Mallard/Netherlands/14016619/2014	H3N6	03/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243553|A/mallard_duck/Netherlands/6/2013|A_/_H3N8|2013-10-01	seg4	blasthit	EPI_ISL_243553	A/mallard_duck/Netherlands/6/2013	H3N8	01/10/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309832|A/Duck/Netherlands/06027358/2006|A_/_H3N8|2006-09-27	seg4	blasthit	EPI_ISL_309832	A/Duck/Netherlands/06027358/2006	H3N8	27/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267207|A/mallard_duck/Netherlands/60/2006|A_/_H3N8|2006-09-18	seg4	blasthit	EPI_ISL_267207	A/mallard_duck/Netherlands/60/2006	H3N8	18/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_257067|A/duck/Bangladesh/26920/2015|A_/_H3N6|2015-12-09	seg4	blasthit	EPI_ISL_257067	A/duck/Bangladesh/26920/2015	H3N6	09/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_257070|A/duck/Bangladesh/26918/2015|A_/_H3N6|2015-12-09	seg4	blasthit	EPI_ISL_257070	A/duck/Bangladesh/26918/2015	H3N6	09/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_240672|A/shoveler/Chany/82K/2014|A_/_H3N8|2014-09-10	seg4	blasthit	EPI_ISL_240672	A/shoveler/Chany/82K/2014	H3N8	10/09/2014	2014	Chany	anseriformes	red2
blasthit|EPI_ISL_333615|A/gadwall/Chany/893/2018|A_/_H3N8|2018-10-19	seg4	blasthit	EPI_ISL_333615	A/gadwall/Chany/893/2018	H3N8	19/10/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_257079|A/duck/Bangladesh/26948/2015|A_/_H3N6|2015-12-09	seg4	blasthit	EPI_ISL_257079	A/duck/Bangladesh/26948/2015	H3N6	09/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_257089|A/duck/Bangladesh/26974/2015|A_/_H3N6|2015-12-10	seg4	blasthit	EPI_ISL_257089	A/duck/Bangladesh/26974/2015	H3N6	10/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_243639|A/turnstone/Netherlands/2/2007|A_/_H3N8|2007-07-31	seg4	blasthit	EPI_ISL_243639	A/turnstone/Netherlands/2/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243402|A/dunlin/Netherlands/2/2007|A_/_H3N8|2007-07-31	seg4	blasthit	EPI_ISL_243402	A/dunlin/Netherlands/2/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243636|A/dunlin/Netherlands/3/2007|A_/_H3N8|2007-07-31	seg4	blasthit	EPI_ISL_243636	A/dunlin/Netherlands/3/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243606|A/gadwall_duck/Netherlands/3/2006|A_/_H3N8|2006-09-03	seg4	blasthit	EPI_ISL_243606	A/gadwall_duck/Netherlands/3/2006	H3N8	03/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_85900|A/duck/Italy/6207/08|A_/_H3N6|2008-11-27	seg4	blasthit	EPI_ISL_85900	A/duck/Italy/6207/08	H3N6	27/11/2008	2008	Italy	anseriformes	red2
blasthit|EPI_ISL_189686|A/common_Teal/Republic_of_Georgia/1/2011|A_/_H3N8|2011-09-19	seg4	blasthit	EPI_ISL_189686	A/common_Teal/Republic_of_Georgia/1/2011	H3N8	19/09/2011	2011	Republic_of_Georgia	anseriformes	red2
blasthit|EPI_ISL_33850|A/mallard/Netherlands/1/2007|A_/_H3N2|2007-XX-XX	seg4	blasthit	EPI_ISL_33850	A/mallard/Netherlands/1/2007	H3N2	2007-XX-XX	2007	Netherlands	anseriformes	red2
blasthit|EPI_ISL_237791|A/mallard/Germany/439/2004|A_/_H3N2|2004-01-01	seg4	blasthit	EPI_ISL_237791	A/mallard/Germany/439/2004	H3N2	01/01/2004	2004	Germany	anseriformes	red2
blasthit|EPI_ISL_120213|A/mallard/Ukraine/05842-NAMRU3/2006|A_/_H3N8|2006-09-30	seg4	blasthit	EPI_ISL_120213	A/mallard/Ukraine/05842-NAMRU3/2006	H3N8	30/09/2006	2006	Ukraine	anseriformes	red2
blasthit|EPI_ISL_89980|A/mallard/Czech_Republic/13577-24K/2010|A_/_H3N8|2010-09-16	seg4	blasthit	EPI_ISL_89980	A/mallard/Czech_Republic/13577-24K/2010	H3N8	16/09/2010	2010	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_79643|A/mallard/Germany-BW/SR872/2008|A_/_H3N8|2008-09-08	seg4	blasthit	EPI_ISL_79643	A/mallard/Germany-BW/SR872/2008	H3N8	08/09/2008	2008	Germany-BW	anseriformes	red2
blasthit|EPI_ISL_79642|A/mallard/Germany-BW/SR871/2008|A_/_H3N8|2008-09-08	seg4	blasthit	EPI_ISL_79642	A/mallard/Germany-BW/SR871/2008	H3N8	08/09/2008	2008	Germany-BW	anseriformes	red2
blasthit|EPI_ISL_84553|A/mallard/Netherlands/28/2006|A_/_H3N1|2006-XX-XX	seg4	blasthit	EPI_ISL_84553	A/mallard/Netherlands/28/2006	H3N1	2006-XX-XX	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329031|A/mallard_duck/Netherlands/62/2008|A_/_H3N6|2008-10-15	seg4	blasthit	EPI_ISL_329031	A/mallard_duck/Netherlands/62/2008	H3N6	15/10/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267386|A/mallard_duck/Netherlands/34/2010|A_/_H3N2|2010-10-08	seg4	blasthit	EPI_ISL_267386	A/mallard_duck/Netherlands/34/2010	H3N2	08/10/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267383|A/mallard_duck/Netherlands/2/2003|A_/_H3N8|2003-09-25	seg4	blasthit	EPI_ISL_267383	A/mallard_duck/Netherlands/2/2003	H3N8	25/09/2003	2003	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267251|A/mallard_duck/Netherlands/1/2003|A_/_H3N8|2003-09-25	seg4	blasthit	EPI_ISL_267251	A/mallard_duck/Netherlands/1/2003	H3N8	25/09/2003	2003	Netherlands	anseriformes	red2
blasthit|EPI_ISL_200447|A/duck/Hunan/04.14_YYGK431-P/2015_Mixed_|A_/_H3N8|2015-04-14	seg4	blasthit	EPI_ISL_200447	A/duck/Hunan/04.14_YYGK431-P/2015	H3N8	14/04/2015	2015	Hunan	anseriformes	red2
blasthit|EPI_ISL_30805|A/turnstone/Netherlands/1/2007|A_/_H3N8|2007-XX-XX	seg4	blasthit	EPI_ISL_30805	A/turnstone/Netherlands/1/2007	H3N8	2007-XX-XX	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_267236|A/mallard_duck/Netherlands/51/2008|A_/_H3N2|2008-10-08	seg4	blasthit	EPI_ISL_267236	A/mallard_duck/Netherlands/51/2008	H3N2	08/10/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_209135|A/duck/Mongolia/996/2015|A_/_H3N8|2015-08-31	seg4	blasthit	EPI_ISL_209135	A/duck/Mongolia/996/2015	H3N8	31/08/2015	2015	Mongolia	anseriformes	red2
blasthit|EPI_ISL_158324|A/mallard/Sweden/79230/2008|A|2008-11-13	seg4	blasthit	EPI_ISL_158324	A/mallard/Sweden/79230/2008	A	13/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_79645|A/mallard/Germany-RP/R2322/07|A_/_H3N8|2007-XX-XX	seg4	blasthit	EPI_ISL_79645	A/mallard/Germany-RP/R2322/07	H3N8	2007-XX-XX	2007	Germany-RP	anseriformes	red2
blasthit|EPI_ISL_73371|A/mallard/Netherlands/5/2001|A_/_H3N6|2001-10-05	seg4	blasthit	EPI_ISL_73371	A/mallard/Netherlands/5/2001	H3N6	05/10/2001	2001	Netherlands	anseriformes	red2
blasthit|EPI_ISL_73363|A/common_teal/Sweden/1/2003|A_/_H3N3|2003-08-30	seg4	blasthit	EPI_ISL_73363	A/common_teal/Sweden/1/2003	H3N3	30/08/2003	2003	Sweden	anseriformes	red2
blasthit|EPI_ISL_239584|A/duck/Gunma/3/2016|A_/_H3N8|2016-12-05	seg4	blasthit	EPI_ISL_239584	A/duck/Gunma/3/2016	H3N8	05/12/2016	2016	Gunma	anseriformes	red2
blasthit|EPI_ISL_189613|A/mallard/Sweden/79389/2008|A|2008-11-15	seg4	blasthit	EPI_ISL_189613	A/mallard/Sweden/79389/2008	A	15/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_239582|A/duck/Gunma/4/2016|A_/_H3N8|2016-12-05	seg4	blasthit	EPI_ISL_239582	A/duck/Gunma/4/2016	H3N8	05/12/2016	2016	Gunma	anseriformes	red2
blasthit|EPI_ISL_328958|A/mallard_duck/Netherlands/56/2015|A_/_H3N2|2015-08-22	seg4	blasthit	EPI_ISL_328958	A/mallard_duck/Netherlands/56/2015	H3N2	22/08/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267401|A/mallard_duck/Netherlands/1/2004|A_/_H3N8|2004-09-18	seg4	blasthit	EPI_ISL_267401	A/mallard_duck/Netherlands/1/2004	H3N8	18/09/2004	2004	Netherlands	anseriformes	red2
blasthit|EPI_ISL_237128|A/duck/Shimane/321101/2015|A_/_H3N8|2015-11-XX	seg4	blasthit	EPI_ISL_237128	A/duck/Shimane/321101/2015	H3N8	2015-11-XX	2015	Shimane	anseriformes	red2
blasthit|EPI_ISL_209111|A/duck/Mongolia/30/2015|A_/_H3N8|2015-08-29	seg4	blasthit	EPI_ISL_209111	A/duck/Mongolia/30/2015	H3N8	29/08/2015	2015	Mongolia	anseriformes	red2
blasthit|EPI_ISL_149873|A/common_shelduck/Mongolia/2076/2011|A_/_H3N8|2011-10-08	seg4	blasthit	EPI_ISL_149873	A/common_shelduck/Mongolia/2076/2011	H3N8	08/10/2011	2011	Mongolia	anseriformes	red2
blasthit|EPI_ISL_158256|A/mallard/Sweden/51869/2006|A|2006-10-22	seg4	blasthit	EPI_ISL_158256	A/mallard/Sweden/51869/2006	A	22/10/2006	2006	Sweden	anseriformes	red2
blasthit|EPI_ISL_158261|A/mallard/Sweden/51976/2006|A|2006-10-24	seg4	blasthit	EPI_ISL_158261	A/mallard/Sweden/51976/2006	A	24/10/2006	2006	Sweden	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|NP|2017-02	seg5	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_328964|A/mallard_duck/Netherlands/11/2015|A|2015-06-05	seg5	blasthit	EPI_ISL_328964	A/mallard_duck/Netherlands/11/2015	A	05/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329034|A/mallard_duck/Netherlands/23/2014|A_/_H1N1|2014-09-15	seg5	blasthit	EPI_ISL_329034	A/mallard_duck/Netherlands/23/2014	H1N1	15/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328956|A/mallard_duck/Netherlands/59/2015|A_/_H6N5|2015-09-05	seg5	blasthit	EPI_ISL_328956	A/mallard_duck/Netherlands/59/2015	H6N5	05/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267317|A/mallard_duck/Netherlands/26/2014|A_/_H1N1|2014-09-15	seg5	blasthit	EPI_ISL_267317	A/mallard_duck/Netherlands/26/2014	H1N1	15/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328957|A/mallard_duck/Netherlands/60/2015|A_/_H6N5|2015-09-12	seg5	blasthit	EPI_ISL_328957	A/mallard_duck/Netherlands/60/2015	H6N5	12/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267376|A/mallard_duck/Netherlands/18/2012|A_/_H4N2|2012-08-21	seg5	blasthit	EPI_ISL_267376	A/mallard_duck/Netherlands/18/2012	H4N2	21/08/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_234918|A/chicken/France/150169a/2015|A_/_H5N1|2015-11-19	seg5	blasthit	EPI_ISL_234918	A/chicken/France/150169a/2015	H5N1	19/11/2015	2015	France	galliformes	red3
blasthit|EPI_ISL_267243|A/barnacle_goose/Netherlands/2/2014|A_/_H3N6|2014-12-15	seg5	blasthit	EPI_ISL_267243	A/barnacle_goose/Netherlands/2/2014	H3N6	15/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267224|A/mallard_duck/Netherlands/16/2012|A_/_H3N2|2012-08-17	seg5	blasthit	EPI_ISL_267224	A/mallard_duck/Netherlands/16/2012	H3N2	17/08/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243461|A/mallard_duck/Netherlands/23/2012|A_/_H11N9|2012-09-27	seg5	blasthit	EPI_ISL_243461	A/mallard_duck/Netherlands/23/2012	H11N9	27/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243650|A/mallard_duck/Netherlands/24/2009|A_/_H6N1|2009-12-01	seg5	blasthit	EPI_ISL_243650	A/mallard_duck/Netherlands/24/2009	H6N1	01/12/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243384|A/mallard_duck/Netherlands/12/2012|A_/_H6N1|2012-10-18	seg5	blasthit	EPI_ISL_243384	A/mallard_duck/Netherlands/12/2012	H6N1	18/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg5	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328992|A/mallard_duck/Netherlands/7/2015|A_/_H8N4|2015-01-03	seg5	blasthit	EPI_ISL_328992	A/mallard_duck/Netherlands/7/2015	H8N4	03/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328971|A/mallard_duck/Georgia/7/2015|A_/_H6N1|2015-10-10	seg5	blasthit	EPI_ISL_328971	A/mallard_duck/Georgia/7/2015	H6N1	10/10/2015	2015	Georgia	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg5	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328958|A/mallard_duck/Netherlands/56/2015|A_/_H3N2|2015-08-22	seg5	blasthit	EPI_ISL_328958	A/mallard_duck/Netherlands/56/2015	H3N2	22/08/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243457|A/barnacle_goose/Netherlands/1/2014|A_/_H6N8|2014-12-15	seg5	blasthit	EPI_ISL_243457	A/barnacle_goose/Netherlands/1/2014	H6N8	15/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243491|A/mallard_duck/Netherlands/32/2013|A_/_H10N7|2013-08-05	seg5	blasthit	EPI_ISL_243491	A/mallard_duck/Netherlands/32/2013	H10N7	05/08/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328998|A/mallard_duck/Netherlands/11/2013|A_/_H7N7|2013-12-09	seg5	blasthit	EPI_ISL_328998	A/mallard_duck/Netherlands/11/2013	H7N7	09/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267186|A/mallard_duck/Netherlands/8/2014|A_/_H7N5|2014-10-28	seg5	blasthit	EPI_ISL_267186	A/mallard_duck/Netherlands/8/2014	H7N5	28/10/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267268|A/mallard_duck/Netherlands/23/2013|A_/_H7N3|2013-04-09	seg5	blasthit	EPI_ISL_267268	A/mallard_duck/Netherlands/23/2013	H7N3	09/04/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243490|A/greater_white-fronted_goose/Netherlands/11/2009|A_/_H6N1|2009-12-09	seg5	blasthit	EPI_ISL_243490	A/greater_white-fronted_goose/Netherlands/11/2009	H6N1	09/12/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243439|A/mallard_duck/Netherlands/13/2013|A_/_H7N7|2013-12-10	seg5	blasthit	EPI_ISL_243439	A/mallard_duck/Netherlands/13/2013	H7N7	10/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243453|A/mallard_duck/Netherlands/31/2013|A_/_H10N7|2013-05-20	seg5	blasthit	EPI_ISL_243453	A/mallard_duck/Netherlands/31/2013	H10N7	20/05/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267197|A/mallard_duck/Netherlands/20/2012|A_/_H1N1|2012-11-24	seg5	blasthit	EPI_ISL_267197	A/mallard_duck/Netherlands/20/2012	H1N1	24/11/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243663|A/mallard_duck/Netherlands/30/2014|A_/_H4N6|2014-07-21	seg5	blasthit	EPI_ISL_243663	A/mallard_duck/Netherlands/30/2014	H4N6	21/07/2014	2014	Netherlands	anseriformes	red2
